Pesquisa;Produto;Preço;Link;Loja
Caixa de Som JBL Flip 6;Caixa de Som Bluetooth Portátil Charge 6 JBL - Preta - JBLCHARGE6BLK;R$ 996,98;https://www.kabum.com.br/produto/876268/caixa-de-som-bluetooth-portatil-charge-6-jbl-preta-jblcharge6blk;KaBuM
Caixa de Som JBL Flip 6;Caixa de Som Bluetooth Portátil JBL Flip 7, 35W RMS, À Prova d'Água IP68, Bateria de 14h, Auracast, Azul - JBLFLIP7BLUBR;R$ 749,00;https://www.kabum.com.br/produto/876266/caixa-de-som-bluetooth-portatil-jbl-flip-7-35w-rms-a-prova-d-agua-ip68-bateria-de-14h-auracast-azul-jblflip7blubr;KaBuM
Caixa de Som JBL Flip 6;Caixa De Som Portátil JBL Flip 6, Bluetooth, 20W RMS, À Prova D'água, 12 Hrs de Bateria, Preto;R$ 889,00;https://www.kabum.com.br/produto/326431/caixa-de-som-portatil-jbl-flip-6-bluetooth-20w-rms-a-prova-d-agua-12-hrs-de-bateria-preto;KaBuM
Smart TV Samsung 50 polegadas Crystal UHD;"Samsung Smart TV 50"" Crystal UHD 4K U8600F 2025, Xbox Cloud Gaming, Canais Gratuitos, Alexa";R$ 2.219,90;https://www.kabum.com.br/produto/871638/samsung-smart-tv-50-crystal-uhd-4k-u8600f-2025-xbox-cloud-gaming-canais-gratuitos-alexa-50-;KaBuM
Smart TV Samsung 50 polegadas Crystal UHD;"Smart TV 50"" Samsung UHD 4K Crystal UHD U8600F UN50U8600FGXZD Tizen Crystal 4K Bixby e Alexa 3 HDMI";R$ 2.768,00;https://www.kabum.com.br/produto/933518/smart-tv-50-samsung-uhd-4k-crystal-uhd-u8600f-un50u8600fgxzd-tizen-crystal-4k-bixby-e-alexa-3-hdmi;KaBuM
Smart TV Samsung 50 polegadas Crystal UHD;Samsung Smart Tv 58” Crystal Uhd 4k U8500f 2025, XBOX Cloud Gaming, Canais Gratuitos, 7 Anos De Atualização, Ai Energy Mode, Alexa Integrada 58”;R$ 2.789,90;https://www.kabum.com.br/produto/881982/samsung-smart-tv-58-crystal-uhd-4k-u8500f-2025-xbox-cloud-gaming-canais-gratuitos-7-anos-de-atualizacao-ai-energy-mode-alexa-integrada-58-;KaBuM
Smartphone Xiaomi Redmi Note 15;"Celular Xiaomi Redmi Note 15 Pro De 256gb 8GB Ram De 6.77"" 200+8mp 32mp - Preto (global)";R$ 1.643,40;https://www.kabum.com.br/produto/999585/celular-xiaomi-redmi-note-15-pro-de-256gb-8gb-ram-de-6-77-200-8mp-32mp-preto-global-;KaBuM
Smartphone Xiaomi Redmi Note 15;"Celular Xiaomi Redmi Note 15 256gb 8GB Ram De 6.77"" 108mp 20mp - Preto";R$ 1.276,00;https://www.kabum.com.br/produto/999577/celular-xiaomi-redmi-note-15-256gb-8gb-ram-de-6-77-108mp-20mp-preto;KaBuM
Smartphone Xiaomi Redmi Note 15;"Celular Xiaomi Redmi Note 15 Pro 5g De 256gb 8GB Ram De 6.83"" 200+8mp 20mp - Titanium Color (global)";R$ 2.099,00;https://www.kabum.com.br/produto/999575/celular-xiaomi-redmi-note-15-pro-5g-de-256gb-8gb-ram-de-6-83-200-8mp-20mp-titanium-color-global-;KaBuM
Smartphone Samsung Galaxy S23 Ultra;Usado - Samsung Galaxy S23 Ultra 5G, 512GB, Preto - Muito Bom;R$ 3.365,10;https://www.kabum.com.br/produto/502461/usado-samsung-galaxy-s23-ultra-5g-512gb-preto-muito-bom;KaBuM
